Date,Source,County,elem_students,elem_staff,elem_unk,Elem_caserate_student,Elem_caserate_ALL,mid_students,mid_staff,mid_unk,mid_caserate_students,mid_caserate_ALL,high_students,high_staff,high_unk,high_caserate_students,high_caserate_ALL,k8_students,k8_staff,k8_unk,,,midhigh_students,midhigh_staff,midhigh_unk,,,k12_students,k12_staff,k12_unk,,,unk_students,unk_staff,unk_unk,other_student,other_staff,other_unknown,Total_cases,District_rate_ALL,District_rate_students,District_rate_staff,student_count,student_F2F,staff_count,firstday_students,firstday_teachers,P_district,P_Pk5,P_6-8,P_9-12,P_K8,P_K12,P_612,P_Other,N_elem,N_middle,N_high,N_K8,N_K12,N_612,N_Other,Masks_required
44149,State,ALACHUA,26,17,,45.93639576,75.97173145,23,6,,88.8030888,111.969112,60,15,,320.855615,401.0695187,1,0,,,,1,3,,,,5,3,,,,,,,27,4,,191,154.7811994,141.3043478,216.2162162,1249,1012,222,44054,44046,81,87.1,77.3,66.3,87.6,,,,566,259,187,0,,,,No
44149,State,BAKER,8,8,,,,10,3,,,,36,9,,,,,,,,,,,,,,,,,,,,,,0,2,,76,26.38888889,27.08124373,24.83069977,4985,1994,886,44074,44067,40,54,39,31,,,,,,,,,,,,Yes
44149,State,BAY,29,25,,21.32352941,39.70588235,19,8,,,,62,11,,,,6,6,,,,2,5,,1.70794193,5.977796755,6,2,,,,,,,3,0,,184,61.33333333,48.39939024,151.5957447,2857,2624,376,44053,44046,91.8,92.3,,,,,90.7,100,1360,,,,,1171,93,No
44149,State,BRADFORD,7,8,,22.01257862,47.16981132,5,4,,15.625,28.125,8,2,,15.6555773,19.56947162,1,2,,,,,,,,,,,,,,,,,,,,37,27.65321375,18.2767624,84.65608466,1549,1149,189,44060,44046,74.2,75,61,74,,,,,318,320,511,,,,,No
44149,State,BREVARD,104,61,,115.942029,183.9464883,4,4,,,,88,18,,,,9,7,,,,50,7,,67.56756757,77.02702703,19,4,,,,,,,52,19,,446,232.5338895,199.144777,427.0462633,1849,1637,281,44060,44046,88.5,90.7,,,,,85.9,,897,,,,,740,,No
44149,State,BROWARD,221,124,,268.2038835,418.6893204,40,46,,,,141,64,,297.4683544,432.4894515,46,26,,,,5,10,,,,2,10,,,,,,,147,55,,937,601.7983301,463.7904468,1293.436293,1596,1298,259,44053,44042,77,84,,74,,,,,824,0,474,0,,,,No
44149,State,CALHOUN,2,1,,0.963391137,1.445086705,,,,0,0,,,,0,0,1,0,,,,16,3,,,,2,2,,,,,,,,,,27,5.727619856,5.1762386,9.132420091,4939,4057,657,44055,44046,82.1,89.4,80.7,71.6,,,,,2076,964,1017,0,,,,No
44149,State,CHARLOTTE,12,4,,4.942339374,6.589785832,9,2,,9.183673469,11.2244898,24,4,,17.85714286,20.83333333,,,,,,,,,,,,,,,,,,,20,3,,78,13.78822698,13.67845118,14.36464088,7337,4752,905,44067,44046,64.8,73.5,58.9,56.7,,,,,2428,980,1344,0,,,,Yes
44149,State,CITRUS,16,13,,3.14033366,5.69185476,10,8,,5.102040816,9.183673469,32,2,,7.054673721,7.495590829,,,,0,0,0,1,,,,1,4,,,,,,,5,7,,99,5.565549809,4.298475385,12.07312867,22451,14889,2899,44074,44060,66.3,68.6,60.6,65.3,67.6,,,,5095,1960,4536,3298,,,,No
44149,State,CLAY,35,30,,8.206330598,15.24032825,5,2,,3.684598379,5.15843773,77,9,,24.45997459,27.31893266,4,1,,9.546539379,11.93317422,37,16,,,,5,0,,,,,,,1,1,,223,20.80223881,17.84742627,38.53690398,11344,9189,1531,44060,44048,81,78,71,98,,,,,4265,1357,3148,419,,,,No
44149,State,COLLIER,50,30,,0.967080577,1.547328923,33,9,,1.487759794,1.893512466,82,12,,2.427903121,2.783206016,4,6,,,,0,1,,,,5,2,,,,,,,8,5,,247,1.559274527,1.388994887,2.374255762,220322,131030,27377,44074,44043,59.5,64.9,58.4,58.6,,,,52.3,51702,22181,33774,,,,23373,Yes
44149,State,COLUMBIA,14,15,,57.61316872,119.3415638,3,1,,,,21,3,,44.21052632,50.52631579,,,,0,0,20,4,,76.62835249,91.95402299,2,2,,2.743484225,5.48696845,,,,13,6,,104,31.8140104,25.8957077,68.88888889,3159,2819,450,44067,44053,89.2,89.6,88.7,88.1,,,,,243,,475,1111,729,261,,No
44149,State,DESOTO,9,5,,9.307135471,14.47776629,3,1,,9.174311927,12.2324159,3,2,,3.440366972,5.733944954,,,,0,0,,,,,,,,,,,,,,,1,,24,3.812549643,2.844141069,8.814887365,6529,5274,1021,44067,44057,80.1,84.3,86.5,74.5,81.1,,,,967,327,872,3108,,,,No
44149,State,DIXIE,1,1,,4.739336493,9.478672986,1,0,,11.23595506,11.23595506,7,4,,70.70707071,111.1111111,,,,,,,,,,,,,,,,,,,,,,14,25.97402597,22.55639098,35.71428571,707,399,140,44074,44053,56.4,61.8,48.9,55.3,,,,,211,89,99,0,,,,Yes
44149,State,DUVAL,103,69,,190.0369004,317.3431734,48,32,,,,180,29,,289.3890675,336.0128617,28,17,,,,18,4,,,,1,2,,,,,,,71,31,,633,479.5454545,385.7388316,1179.487179,1166,1164,156,44060,44060,99.8,100,,99.6,,,,,542,,622,,,,,No
44149,State,ESCAMBIA,18,32,,1.491053678,4.141815772,9,9,,1.644736842,3.289473684,67,14,,8.527427771,10.30927835,,,,0,0,,,,,,,,,,,,,,25,10,,184,6.084656085,4.666666667,13.71308017,42223,25500,4740,44067,44061,60.4,62.5,55.6,60.1,82.4,,,,12072,5472,7857,99,,,,Yes
44149,State,FLAGLER,14,8,,0.617637976,0.970573962,4,1,,0.462107209,0.577634011,27,3,,1.710593006,1.900658895,0,1,,0,0.167196121,6,4,,,,,,,,,,,,3,7,,78,1.227863046,1.017179024,2.299511354,94903,53088,10437,44074,44061,55.9,63.2,52.2,54.9,74.1,,,,22667,8656,15784,5981,,,,Yes
44149,State,FRANKLIN,,,,0,0,,,,0,0,,,,0,0,3,2,,2.870813397,4.784688995,0,3,,,,21,9,,,,,,,0,2,,40,2.139151826,1.700800794,3.487358326,32316,14111,4588,44074,11187,43.6,48.7,40.3,40.4,40.9,,,,6782,2564,3720,1045,,,,Yes
44149,State,GADSDEN,6,6,,2.81030445,5.620608899,3,3,,38.96103896,77.92207792,9,1,,4.470938897,4.967709886,,,,0,0,2,0,,,,,,,,,,,,3,,,33,6.066176471,4.956896552,12.5,5472,4640,800,44060,44046,84.8,88.1,100,81.5,94.9,,,,2135,77,2013,415,,,,No
44149,State,GILCHRIST,4,1,,,,,,,,,,,,0,0,,,,0,0,20,5,,,,,,,,,,,,,,,30,25.3164557,24,32.43243243,1123,1000,185,44074,44060,89,,,91.2,88.1,,,,,,310,690,,,,No
44149,State,GLADES,5,5,,14.6627566,29.3255132,,,,0,0,,,,0,0,,,,,,5,4,,,,,,,,,,,,,,,19,11.14369501,7.315288954,26.62721893,1833,1367,338,44067,44046,74.6,94.5,66.9,75.2,,,,,341,650,376,,,,,No
44149,State,GULF,2,2,,0.152648451,0.305296901,,,,0,0,,,,0,0,,,,0,0,22,1,,,,,,,,,,,,,2,,29,0.735592532,0.735361706,0.73670252,49205,32637,6787,44060,44046,66.3,71.6,66.8,74.3,50.3,,,,13102,5076,9295,5164,,,,Yes
44149,State,HAMILTON,1,1,,0.077303649,0.154607297,,,,0,0,,,,0,0,,,,0,0,1,2,,,,,,,,,,,,,,,5,0.145230626,0.070746374,0.487171159,40387,28270,6158,44067,44046,69.9,66.8,63.4,66.8,,,,,12936,6113,8162,1059,,,,No
44149,State,HARDEE,18,15,,3.080609276,5.647783673,,,,0,0,34,5,,9.818076812,11.26191164,,,,,,17,4,,,,,,,,,,,,,,,93,6.313645621,5.711447728,9.06002265,16362,12081,2649,44054,44043,73.8,84.2,71.9,62.4,,,,,5843,2775,3463,,,,,Yes
44149,State,HENDRY,14,10,,8.032128514,13.76936317,7,7,,,,11,0,,5.981511691,5.981511691,,,,0,0,,,,,,,,,,,,,,,1,,50,5.585344057,4.132765078,14.88833747,8151,7743,1209,44062,44049,95,96,93,95,,,,,1743,0,1839,4161,,,,Yes
44149,State,HERNANDO,9,8,,2.169197397,4.097372861,12,3,,7.334963325,9.168704156,27,11,,11.82136602,16.63747811,13,1,,20.63492063,22.22222222,1,0,,,,,,,,,,,,22,8,,115,11.16830145,9.656282331,19.39924906,11869,8699,1598,44067,44053,73.2,79.5,77.8,71.2,80.5,,,,4149,1636,2284,630,,,,Yes
44149,State,HIGHLANDS,16,11,,1.391062424,2.34741784,8,2,,1.410188613,1.762735766,27,2,,5.121396055,5.500758725,,,,0,0,9,5,,,,,,,,,,,,11,2,,93,3.531287971,3.064704105,6.942253077,30785,23167,3169,44074,44067,75.2,80.9,74.9,61.2,95.9,,,,11502,5673,5272,720,,,,No
44149,State,HILLSBOROUGH,191,90,,96.9051243,142.5672248,119,37,,142.6858513,187.0503597,288,52,,324.6899662,383.3145434,65,35,,278.9699571,429.1845494,3,1,,,,6,6,,,,,,,65,33,,991,208.7634295,187.7707006,309.0024331,5859,3925,822,44060,44042,67,75,63,58,,,,,1971,834,887,233,,,,Yes
44149,State,HOLMES,2,1,,0.063227112,0.094840668,,,,0,0,6,4,,0.261096606,0.43516101,8,4,,1.228312606,1.842468908,5,3,,,,7,6,,,,,,,0,2,,48,0.465996796,0.365177698,0.759589821,203285,76675,26330,44067,44046,37.7,41.4,32.9,28.7,56.4,,,,31632,15550,22980,6513,,,,Yes
44149,State,INDIAN RIVER,23,12,,3.233061569,4.9198763,16,6,,3.469210755,4.770164788,52,9,,5.810055866,6.815642458,1,1,,0.225631769,0.451263538,,,,,,,,,,,,,,17,5,,142,4.217404217,4.341245818,3.854239664,53450,25108,8562,44067,44053,46.6,47.9,46.2,47.8,48.3,,,,7114,4612,8950,4432,,,,Yes
44149,State,JACKSON,6,6,,0.163773338,0.327546675,1,0,,0.075477395,0.075477395,19,8,,1.278858451,1.817325167,18,9,,19.93355482,29.90033223,21,7,,,,1,5,,,,,,,1,3,,105,1.173171249,1.020641328,1.592890677,169662,65645,23856,44090,44076,38.7,48.4,35.5,27.8,24,,,,36636,13249,14857,903,,,,Yes
44149,State,JEFFERSON,1,0,,0.051826898,0.051826898,1,0,,0.10936133,0.10936133,2,0,,0.157654107,0.157654107,,,,0,0,4,1,,,,,,,,,,,,3,1,,13,0.22808218,0.239437539,0.18089725,76775,45941,11056,44067,44062,59.8,63.3,54.9,55.3,71.4,,,,19295,9144,12686,4816,,,,Yes
44149,State,LAFAYETTE,0,2,,0,0.084210526,,,,0,0,,,,0,0,,,,,,4,1,,,,,,,,,,,,0,1,,8,0.126008065,0.079270709,0.30703101,88889,50460,13028,44067,44062,56.8,63.4,49.5,53.6,,,,,23750,10043,16667,,,,,Yes
44149,State,LAKE,36,31,,1.600996175,2.979631771,23,6,,2.498642042,3.150461706,35,12,,2.480686087,3.331207031,9,5,,0.746578183,1.161343841,,,,,,2,6,,,,,,,44,23,,232,3.206900365,2.575404027,5.728483677,103401,57855,14489,44067,44060,55.9,65.4,53.7,51.4,49.4,,,,22486,9205,14109,12055,,,,Yes
44149,State,LEE,92,58,,24.5398773,40.01066951,67,20,,48.58593183,63.08919507,151,32,,82.28882834,99.72752044,29,6,,65.90909091,79.54545455,3,1,,6.696428571,8.928571429,0,8,,0,81.63265306,,,,19,14,,500,52.38893546,45.41451755,87.14733542,10346,7949,1595,44067,44060,76.8,77.7,64.1,74.2,78.6,83.1,89.6,,3749,1379,1835,440,98,448,,Yes
44149,State,LEON,37,29,,3.337542847,5.953454808,17,8,,4.147353013,6.099048548,46,7,,5.943920403,6.84843003,2,3,,0.805152979,2.012882448,1,0,,,,18,8,,,,,,,10,12,,198,6.975760992,5.155856423,22.51344086,29849,25408,2976,44067,44060,85.1,89.4,85.7,89.4,61.8,,,,11086,4099,7739,2484,,,,Yes
44149,State,LEVY,12,2,,1.130475742,1.318888366,,,,0,0,,,,0,0,,,,0,0,29,1,,,,7,0,,,,,,,5,1,,57,1.600988681,1.783190902,0.680156436,42453,29722,5881,44074,44060,70,72,66,72,59,,,,10615,4084,8299,6724,,,,Yes
44149,State,LIBERTY,,,,0,0,,,,0,0,6,1,,1.36425648,1.59163256,11,3,,3.915984336,4.983980064,,,,,,,,,,,,,,,,,21,0.631711939,0.659246907,0.536480687,66521,25787,7456,44060,42957,38.8,52.2,32.9,32.9,71.3,,,,13692,4888,4398,2809,,,,Yes
