FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
313,Burke High,244 President Street,Charleston,0,0,0,0
314,Burton Pack Elementary,111 Garden Drive,Columbia,0,0,0,0
315,Butler Academy,710 South 5th Street,Hartsville,0,0,0,0
316,Byrd Elementary,1225 Weldon Way,Graniteville,0,0,0,0
317,C. A. Johnson High,2219 Barhamville Road,Columbia,0,0,0,0
318,C. E. Murray High,222 C. E. Murray Boulevard,Greeleyville,< 5,0,< 5,0
319,C. E. Murray Middle,222-A C.E. Murray Boulevard,Greeleyville,0,0,0,0
320,Williams Sch Creative/Sci Arts,3090 Sanders Road,Charleston,0,0,0,0
321,Cain Elementary,607 First Street,Darlington,0,0,0,0
322,Bowen's Corner Elementary,1174 Williams Ln,Hanahan,0,0,0,0
323,Calhoun Academy of the Arts,1520 East Calhoun Street,Anderson,0,< 5,0,< 5
324,Calhoun County High,150 Saints Avenue,St. Matthews,0,< 5,0,< 5
325,Calhoun Falls Charter,205 Edgefield Street,Calhoun Falls,0,0,0,0
326,Camden Elem Creative Arts,416 Laurens Street,Camden,< 5,0,0,0
327,Camden High,1022 Ehrenclou Road,Camden,9,< 5,9,< 5
328,Camden Middle,902 McRae Road,Camden,< 5,0,< 5,0
329,Camp Road Middle,1825 Camp Road,Charleston,0,0,0,0
330,Campobello-Gramling School,250 Fagan Avenue,Campobello,0,< 5,0,0
331,Batesburg-Leesville Primary,800 Summerland Avenue,Batesburg-Leesville,0,0,0,0
332,Cainhoy Elementary,2434 Cainhoy Road,Huger,0,0,0,0
333,Cane Bay Elementary,1247 Cane Bay Boulevard,Summerville,0,0,0,0
334,Cane Bay High,1624 State Road,Summerville,< 5,0,< 5,0
335,Cannons Elementary,1315 Old Converse Road,Spartanburg,< 5,0,< 5,0
336,Ben Hazel Primary,628 Railroad Avenue West,Hampton,0,0,0,0
337,Cape Romain Env Ed Charter Sch,1011 Old Cemetery Road,McClellanville,0,0,0,0
338,Career & Tech Anderson 1 & 2,702 Belton Highway,Williamston,< 5,0,< 5,0
339,Carlisle-Foster's Grove Elem,625 Foster's Grove Road,Chesnee,0,< 5,0,< 5
340,Carolina Academy (High),2725 Anderson Road,Greenville,0,0,0,0
341,Bethune-Bowman Elementary,4857 Charleston Highway,Rowesville,0,0,0,0
342,Bethune-Bowman Middle/High,4857 Charleston Highway,Rowesville,0,0,0,0
343,Carolina Elementary,719 West Carolina Avenue,Hartsville,0,0,0,0
344,Carolina Forest Elementary,285 Carolina Forest Boulevard,Myrtle Beach,0,0,0,0
